publisher_name,keyword,match_type,campaign,keyword_group,category,search_engine_bid,clicks,click_charges,impressions,avg_pos,revenue,booking,cpc_avg,conversion_rate,cpa,ctr,roas,sale_probability,ctr_calc,cpc_calc,cvr_calc,cpa_calc,roas_calc
Yahoo - US,fly to florence,Advanced,Western Europe Destinations,Florence,uncategorized,6.25,1,2.3125,11,1.27272727272727,8777.95,9,2.3125,9.0,0.2569444444444444,0.09090909090909091,3795.870270270271,0.8181818181818182,0.09090909090909091,2.3125,9.0,0.2569444444444444,3795.870270270271
Yahoo - US,low international airfare,Advanced,Geo Targeted DC,Low International DC,uncategorized,6.25,1,0.625,6,1.0,1574.2,1,0.625,1.0,0.625,0.16666666666666666,2518.7200000000003,0.16666666666666666,0.16666666666666666,0.625,1.0,0.625,2518.7200000000003
MSN - Global,air discount france ticket,Broad,Air France Brand & French Destinations,France,uncategorized,0.0,1,0.3875,9,1.11111111111111,390.15,1,0.3875,1.0,0.3875,0.1111111111111111,1006.8387096774193,0.1111111111111111,0.1111111111111111,0.3875,1.0,0.3875,1006.8387096774193
Google - Global,[airfrance],Exact,Air France Global Campaign,Air France,airfrance,7.5,59,2.3124998375,401,2.0,1665.15,2,0.0391949125,0.03389830508474576,1.15624991875,0.14713216957605985,720.0649154640212,0.004987531172069825,0.14713216957605985,0.0391949125,0.03389830508474576,1.15624991875,720.0649154640212
Overture - Global,air france online booking,Standard,Unassigned,Unassigned,airfrance,0.25,8,2.2,318,2.97578616352201,935.0,1,0.275,0.125,2.2,0.025157232704402517,424.99999999999994,0.0031446540880503146,0.025157232704402517,0.275,0.125,2.2,424.99999999999994
Overture - Global,"airfrance,com",Standard,Unassigned,Unassigned,airfrancewebsite,0.125,42,5.25,722,1.12908587257618,1817.3,2,0.125,0.047619047619047616,2.625,0.05817174515235457,346.15238095238095,0.002770083102493075,0.05817174515235457,0.125,0.047619047619047616,2.625,346.15238095238095
Google - US,paris cheap airline,Broad,Geo Targeted San Francisco,San Francisco to Paris Sale,uncategorized,6.25,3,5.2125,13,1.0,1685.55,1,1.7375,0.3333333333333333,5.2125,0.23076923076923078,323.3669064748201,0.07692307692307693,0.23076923076923078,1.7375,0.3333333333333333,5.2125,323.3669064748201
Overture - US,airfrance.us,Standard,Unassigned,Unassigned,airfrance,0.325,47,11.799999775000002,547,1.1819012797075,3796.1,2,0.251063825,0.0425531914893617,5.899999887500001,0.08592321755027423,321.70339596468335,0.003656307129798903,0.08592321755027423,0.251063825,0.0425531914893617,5.899999887500001,321.70339596468335
Overture - Global,air travel to paris,Standard,Unassigned,Unassigned,paris,7.5,13,5.2124999875,448,1.85647321428571,1513.0,1,0.4009615375,0.07692307692307693,5.2124999875,0.029017857142857144,290.26378966490114,0.0022321428571428575,0.029017857142857144,0.4009615375,0.07692307692307693,5.2124999875,290.26378966490114
Google - Global,air france site,Broad,Air France Brand & French Destinations,Air France Website,uncategorized,5.0,19,8.237499875,129,1.03023255813953,2348.55,1,0.43355262499999997,0.05263157894736842,8.237499875,0.14728682170542637,285.10470842344023,0.007751937984496124,0.14728682170542637,0.43355262499999997,0.05263157894736842,8.237499875,285.10470842344023
