publisher_name,match_type,keyword_group,current_spend,proposed,delta_spend,roas,expected_revenue_current,expected_revenue_proposed,delta_revenue
Yahoo - US,Advanced,Air France Website,23615.562204175003,23615.56220417501,7.275957614183426e-12,30.458466064925435,719293.8,719293.8000000003,2.3283064365386963e-10
Google - US,Exact,Air France Brand,13336.812403850001,13336.812403850005,3.637978807091713e-12,38.67430120341979,515791.9,515791.9000000002,1.7462298274040222e-10
Google - US,Broad,Air France Brand,53914.299737400004,53914.29973740002,1.4551915228366852e-11,10.441190977938259,562929.5,562929.5000000001,1.1641532182693481e-10
Google - US,Broad,Air France Website,47129.81234495001,47129.81234495003,1.4551915228366852e-11,9.317267100195702,439121.05,439121.0500000001,1.1641532182693481e-10
Google - Global,Exact,Air France Brand,15329.73732705,15329.737327050005,5.4569682106375694e-12,17.263890068945397,264650.9,264650.90000000014,1.1641532182693481e-10
Overture - US,Standard,Unassigned,101837.14964440001,101837.14964440004,2.9103830456733704e-11,2.9562448581017895,301055.55,301055.5500000001,1.1641532182693481e-10
MSN - US,Broad,Air France Brand,10356.674933087499,10356.674933087503,3.637978807091713e-12,14.087117819435706,145895.7,145895.70000000007,5.820766091346741e-11
Google - Global,Exact,Air France,4888.4123979625,4888.412397962501,9.094947017729282e-13,48.6110991983911,237631.1,237631.10000000006,5.820766091346741e-11
Overture - Global,Advanced,Unassigned,35936.8997161875,35936.89971618751,7.275957614183426e-12,9.7737855177804,351239.55,351239.55000000005,5.820766091346741e-11
Google - Global,Broad,Paris,40533.3999071125,40533.399907112514,1.4551915228366852e-11,3.073436975074479,124576.85,124576.85000000005,4.3655745685100555e-11
MSN - Global,Broad,Air France Brand,5641.6999638375,5641.699963837502,1.8189894035458565e-12,20.775333809186595,117208.2,117208.20000000004,4.3655745685100555e-11
Yahoo - US,Advanced,Air France Brand,5098.39996025,5098.399960250001,9.094947017729282e-13,22.111770531724243,112734.65,112734.65000000002,2.9103830456733704e-11
Google - Global,Broad,Air France Brand,9975.0999510125,9975.099951012504,3.637978807091713e-12,7.841309900063776,78217.85,78217.85000000003,2.9103830456733704e-11
Google - Global,Broad,Air France,4060.949976725,4060.949976725001,9.094947017729282e-13,20.03102733750038,81345.0,81345.00000000003,2.9103830456733704e-11
Google - US,Broad,Paris,49209.9623473125,49209.96234731252,1.4551915228366852e-11,1.2745346065769811,62719.799999999996,62719.80000000002,2.1827872842550278e-11
Google - Global,Broad,Air France Website,2255.4124782375,2255.4124782375006,4.547473508864641e-13,33.93423630422098,76535.7,76535.70000000001,1.4551915228366852e-11
Overture - Global,Standard,Unassigned,28358.962427399998,28358.962427400005,7.275957614183426e-12,2.780255102839059,78845.15,78845.15000000001,1.4551915228366852e-11
Google - US,Broad,France,45918.1374165625,45918.13741656252,1.4551915228366852e-11,1.012914560929547,46511.15000000001,46511.15000000002,1.4551915228366852e-11
Overture - US,Advanced,Unassigned,40138.9248111625,40138.92481116251,1.4551915228366852e-11,1.1554295541843342,46377.7,46377.70000000001,1.4551915228366852e-11
Google - Global,Broad,France,37790.249940149995,37790.24994015,7.275957614183426e-12,1.427401249936954,53941.850000000006,53941.85000000001,7.275957614183426e-12
MSN - US,Broad,Air France Website,1311.8124801000001,1311.8124801000004,2.2737367544323206e-13,26.309057524265278,34512.55,34512.55000000001,7.275957614183426e-12
Yahoo - US,Standard,Paris,5084.5999829625,5084.599982962502,1.8189894035458565e-12,2.998052954230289,15243.9,15243.900000000005,5.4569682106375694e-12
MSN - Global,Broad,Air France Website,947.0249812249999,947.0249812250001,2.2737367544323206e-13,21.901059012372837,20740.850000000002,20740.850000000006,3.637978807091713e-12
Google - US,Broad,New York to Paris Sale,3878.737491975,3878.737491975001,9.094947017729282e-13,3.4471268106344377,13370.5,13370.500000000004,3.637978807091713e-12
Google - US,Broad,New York to France Sale,3020.674994425,3020.674994425001,9.094947017729282e-13,6.643713751740489,20068.5,20068.500000000004,3.637978807091713e-12
Google - US,Broad,Italy,8380.6749665375,8380.674966537501,1.8189894035458565e-12,1.2698261228948216,10642.0,10642.000000000004,3.637978807091713e-12
Google - US,Broad,Houston to Paris Sale,810.9749983875,810.9749983875002,2.2737367544323206e-13,8.711982507534847,7065.200000000001,7065.200000000003,1.8189894035458565e-12
Google - Global,Broad,Nice,1225.4874962,1225.4874962000001,2.2737367544323206e-13,6.734177236071257,8252.65,8252.650000000001,1.8189894035458565e-12
Google - US,Broad,Spain,8464.4374799,8464.437479900002,1.8189894035458565e-12,1.370333235674987,11599.1,11599.100000000002,1.8189894035458565e-12
Yahoo - US,Advanced,Rome,104.5624998125,104.56249981250002,2.842170943040401e-14,54.79019734869731,5729.0,5729.000000000002,1.8189894035458565e-12
Yahoo - US,Standard,France,1711.3999925625,1711.3999925625005,4.547473508864641e-13,5.129601518143865,8778.8,8778.800000000001,1.8189894035458565e-12
Google - US,Broad,Google|Rome,2481.5249946374997,2481.5249946375006,9.094947017729282e-13,1.6599067141782777,4119.1,4119.100000000002,1.8189894035458565e-12
Google - US,Broad,San Francisco to Paris Sale,990.2874981375,990.2874981375004,3.410605131648481e-13,3.0016030754608996,2972.45,2972.450000000001,1.3642420526593924e-12
Google - US,Broad,Google|Athens,1855.2374953749998,1855.2374953750004,6.821210263296962e-13,1.643428406120972,3048.9500000000003,3048.950000000001,9.094947017729282e-13
Google - US,Broad,Google|Europe,10195.4624789875,10195.462478987502,1.8189894035458565e-12,0.5765064617827629,5877.75,5877.750000000001,9.094947017729282e-13
Yahoo - US,Advanced,International Chicago,434.88749912500003,434.88749912500015,1.1368683772161603e-13,10.12641202347874,4403.85,4403.850000000001,9.094947017729282e-13
Google - US,Broad,DC to France Sale,62.2124998875,62.212499887500016,1.4210854715202004e-14,53.052843174095955,3300.5499999999997,3300.5500000000006,9.094947017729282e-13
Google - US,Broad,Boston to Paris Sale,382.099999325,382.0999993250001,1.1368683772161603e-13,6.442292604942548,2461.6,2461.600000000001,9.094947017729282e-13
